site_id,IslandCode,Name,Year,Urchin,sample.size,sd.wetmass,av.wetmass,total.count,av.count.m2,sd.count,Nquads,av.total.biomass,latitude,longitude,Depth,time.reserve,reserve.status,Annual.catch
1,SM,Wyckoff Ledge,2017,purple,211,13.74989383,15.70604432,32,1.333333333,3.996210326,24,20.94139243,34.02236667,-120.3874667,15,0,0,NA
1,SM,Wyckoff Ledge,2017,red,224,27.66834791,66.97600083,14,0.583333333,1.607275127,24,39.06933382,34.02236667,-120.3874667,15,0,0,NA
1,SM,Wyckoff Ledge,2018,purple,214,10.54871319,18.57428049,465,19.375,17.17440617,24,359.8766845,34.02236667,-120.3874667,15,0,0,NA
1,SM,Wyckoff Ledge,2018,red,224,18.74348862,47.51150856,284,11.83333333,10.6500818,24,562.219518,34.02236667,-120.3874667,15,0,0,NA
1,SM,Wyckoff Ledge,2019,purple,202,13.77394248,17.13986726,480,20,12.93339581,24,342.7973452,34.02236667,-120.3874667,15,0,0,NA
1,SM,Wyckoff Ledge,2019,red,208,18.95052135,36.24553035,132,5.5,2.67989145,24,199.3504169,34.02236667,-120.3874667,15,0,0,NA
10,SC,Yellow Banks,2017,purple,279,6.030942706,8.808939815,301,12.54166667,7.050010746,24,110.4787868,33.98983333,-119.5630667,15.5,0,0,NA
10,SC,Yellow Banks,2017,red,223,32.83306105,44.19123178,7,0.291666667,0.450168319,24,12.88910927,33.98983333,-119.5630667,15.5,0,0,NA
10,SC,Yellow Banks,2018,purple,251,8.954601746,5.694106534,293,12.20833333,9.621137556,24,69.51555061,33.98983333,-119.5630667,15.5,0,0,NA
10,SC,Yellow Banks,2018,red,256,28.19728918,43.50423632,27,1.125,0.932372341,24,48.94226586,33.98983333,-119.5630667,15.5,0,0,NA
10,SC,Yellow Banks,2019,purple,215,7.088014379,3.528148556,154,6.416666667,8.352553592,24,22.63895323,33.98983333,-119.5630667,15.5,0,0,NA
10,SC,Yellow Banks,2019,red,209,20.65216157,149.3232563,9,0.375,0.711113084,24,55.99622111,33.98983333,-119.5630667,15.5,0,0,NA
